Mes,Nom mes,Any,Motiu de la denúncia,Àmbit territorial,No ratificades,Ratificades,Total
8,agost,2013,Pèrdues i diversos,Catalunya,125,52,177
8,agost,2013,Furt,Catalunya,259,99,358
8,agost,2013,Furt interior vehicle,Catalunya,,1,1
8,agost,2013,Robatori amb violència i/o intimidació,Catalunya,25,15,40
8,agost,2013,Robatori amb força interior vehicle,Catalunya,29,14,43
8,agost,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,19,4,23
8,agost,2013,Danys,Catalunya,63,19,82
8,agost,2013,Falta de furt,Catalunya,,15,15
8,agost,2013,Falta de danys,Catalunya,,3,3
9,setembre,2013,Sense especificar,Catalunya,,1,1
9,setembre,2013,Pèrdues i diversos,Catalunya,143,44,187
9,setembre,2013,Furt,Catalunya,326,87,413
9,setembre,2013,Furt interior vehicle,Catalunya,,1,1
9,setembre,2013,Robatori amb violència i/o intimidació,Catalunya,32,7,39
9,setembre,2013,Robatori amb força interior vehicle,Catalunya,23,9,32
9,setembre,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,19,6,25
9,setembre,2013,Danys,Catalunya,91,28,119
9,setembre,2013,Falta de furt,Catalunya,,29,29
9,setembre,2013,Falta de danys,Catalunya,,2,2
10,octubre,2013,Sense especificar,Catalunya,,1,1
10,octubre,2013,Pèrdues i diversos,Catalunya,153,43,196
10,octubre,2013,Furt,Catalunya,286,80,366
10,octubre,2013,Robatori amb violència i/o intimidació,Catalunya,30,13,43
10,octubre,2013,Robatori amb força interior vehicle,Catalunya,33,16,49
10,octubre,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,24,6,30
10,octubre,2013,Danys,Catalunya,87,17,104
10,octubre,2013,Falta de furt,Catalunya,,21,21
10,octubre,2013,Falta de danys,Catalunya,,1,1
11,novembre,2013,Sense especificar,Catalunya,,2,2
11,novembre,2013,Pèrdues i diversos,Catalunya,138,39,177
11,novembre,2013,Furt,Catalunya,272,77,349
11,novembre,2013,Robatori amb violència i/o intimidació,Catalunya,37,22,59
11,novembre,2013,Robatori amb força interior vehicle,Catalunya,29,9,38
11,novembre,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,12,10,22
11,novembre,2013,Danys,Catalunya,87,27,114
11,novembre,2013,Falta de furt,Catalunya,,20,20
11,novembre,2013,Falta de danys,Catalunya,,3,3
12,desembre,2013,Pèrdues i diversos,Catalunya,140,44,184
12,desembre,2013,Furt,Catalunya,270,75,345
12,desembre,2013,Robatori amb violència i/o intimidació,Catalunya,32,10,42
12,desembre,2013,Robatori amb força interior vehicle,Catalunya,38,16,54
12,desembre,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,17,8,25
12,desembre,2013,Danys,Catalunya,73,26,99
12,desembre,2013,Falta de furt,Catalunya,,14,14
12,desembre,2013,Falta de danys,Catalunya,,1,1
1,gener,2014,Sense especificar,Catalunya,,2,2
1,gener,2014,Pèrdues i diversos,Catalunya,116,30,146
1,gener,2014,Furt,Catalunya,268,82,350
1,gener,2014,Robatori amb violència i/o intimidació,Catalunya,32,9,41
1,gener,2014,Robatori amb força interior vehicle,Catalunya,23,11,34
1,gener,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,11,6,17
1,gener,2014,Danys,Catalunya,96,30,126
1,gener,2014,Falta de furt,Catalunya,,25,25
1,gener,2014,Falta de danys,Catalunya,,5,5
2,febrer,2014,Sense especificar,Catalunya,,1,1
2,febrer,2014,Pèrdues i diversos,Catalunya,83,36,119
2,febrer,2014,Furt,Catalunya,272,79,351
2,febrer,2014,Robatori amb violència i/o intimidació,Catalunya,41,6,47
2,febrer,2014,Robatori amb força interior vehicle,Catalunya,18,10,28
2,febrer,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,18,6,24
2,febrer,2014,Danys,Catalunya,64,20,84
2,febrer,2014,Falta de furt,Catalunya,,17,17
2,febrer,2014,Falta de danys,Catalunya,,3,3
3,març,2014,Sense especificar,Catalunya,,4,4
3,març,2014,Pèrdues i diversos,Catalunya,117,31,148
3,març,2014,Furt,Catalunya,301,91,392
3,març,2014,Robatori amb violència i/o intimidació,Catalunya,30,11,41
3,març,2014,Robatori amb força interior vehicle,Catalunya,25,8,33
3,març,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,11,10,21
3,març,2014,Danys,Catalunya,84,15,99
3,març,2014,Falta de furt,Catalunya,,28,28
3,març,2014,Falta de danys,Catalunya,,3,3
4,abril,2014,Sense especificar,Catalunya,,3,3
4,abril,2014,Pèrdues i diversos,Catalunya,100,28,128
4,abril,2014,Furt,Catalunya,258,119,377
4,abril,2014,Robatori amb violència i/o intimidació,Catalunya,31,7,38
4,abril,2014,Robatori amb força interior vehicle,Catalunya,21,5,26
4,abril,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,12,3,15
4,abril,2014,Danys,Catalunya,85,27,112
4,abril,2014,Falta de furt,Catalunya,,31,31
4,abril,2014,Falta de danys,Catalunya,,5,5
5,maig,2014,Sense especificar,Catalunya,,2,2
5,maig,2014,Pèrdues i diversos,Catalunya,135,55,190
5,maig,2014,Furt,Catalunya,256,120,376
5,maig,2014,Furt interior vehicle,Catalunya,,1,1
5,maig,2014,Robatori amb violència i/o intimidació,Catalunya,29,8,37
5,maig,2014,Robatori amb força interior vehicle,Catalunya,21,9,30
5,maig,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,14,5,19
5,maig,2014,Danys,Catalunya,117,24,141
5,maig,2014,Falta de furt,Catalunya,,50,50
5,maig,2014,Falta de danys,Catalunya,,7,7
6,juny,2014,Sense especificar,Catalunya,,12,12
6,juny,2014,Pèrdues i diversos,Catalunya,146,51,197
6,juny,2014,Furt,Catalunya,307,131,438
6,juny,2014,Robatori amb violència i/o intimidació,Catalunya,30,10,40
6,juny,2014,Robatori amb força interior vehicle,Catalunya,21,13,34
6,juny,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,8,6,14
6,juny,2014,Danys,Catalunya,71,20,91
6,juny,2014,Falta de furt,Catalunya,,34,34
6,juny,2014,Falta de danys,Catalunya,,5,5
7,juliol,2014,Sense especificar,Catalunya,,28,28
7,juliol,2014,Pèrdues i diversos,Catalunya,155,42,197
7,juliol,2014,Furt,Catalunya,308,121,429
7,juliol,2014,Robatori amb violència i/o intimidació,Catalunya,34,15,49
7,juliol,2014,Robatori amb força interior vehicle,Catalunya,21,10,31
7,juliol,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,15,2,17
7,juliol,2014,Danys,Catalunya,93,27,120
7,juliol,2014,Falta de furt,Catalunya,,33,33
7,juliol,2014,Falta de danys,Catalunya,,7,7
8,agost,2014,Sense especificar,Catalunya,,24,24
8,agost,2014,Pèrdues i diversos,Catalunya,113,50,163
8,agost,2014,Furt,Catalunya,259,105,364
8,agost,2014,Robatori amb violència i/o intimidació,Catalunya,25,7,32
8,agost,2014,Robatori amb força interior vehicle,Catalunya,15,11,26
8,agost,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,13,2,15
8,agost,2014,Danys,Catalunya,52,10,62
8,agost,2014,Falta de furt,Catalunya,,24,24
8,agost,2014,Falta de danys,Catalunya,,3,3
9,setembre,2014,Sense especificar,Catalunya,,38,38
9,setembre,2014,Pèrdues i diversos,Catalunya,157,47,204
9,setembre,2014,Furt,Catalunya,255,96,351
9,setembre,2014,Robatori amb violència i/o intimidació,Catalunya,33,10,43
9,setembre,2014,Robatori amb força interior vehicle,Catalunya,20,11,31
9,setembre,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,18,4,22
9,setembre,2014,Danys,Catalunya,100,22,122
9,setembre,2014,Falta de furt,Catalunya,,23,23
9,setembre,2014,Falta de danys,Catalunya,,4,4
10,octubre,2014,Sense especificar,Catalunya,,16,16
10,octubre,2014,Pèrdues i diversos,Catalunya,141,60,201
10,octubre,2014,Furt,Catalunya,319,101,420
10,octubre,2014,Robatori amb violència i/o intimidació,Catalunya,31,17,48
10,octubre,2014,Robatori amb força interior vehicle,Catalunya,18,10,28
10,octubre,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,10,4,14
10,octubre,2014,Danys,Catalunya,71,21,92
10,octubre,2014,Falta de furt,Catalunya,,34,34
10,octubre,2014,Falta de danys,Catalunya,,4,4
11,novembre,2014,Sense especificar,Catalunya,,8,8
11,novembre,2014,Pèrdues i diversos,Catalunya,129,44,173
11,novembre,2014,Furt,Catalunya,265,112,377
11,novembre,2014,Robatori amb violència i/o intimidació,Catalunya,38,13,51
11,novembre,2014,Robatori amb força interior vehicle,Catalunya,16,10,26
11,novembre,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,16,4,20
11,novembre,2014,Danys,Catalunya,89,26,115
11,novembre,2014,Falta de furt,Catalunya,,40,40
11,novembre,2014,Falta de danys,Catalunya,,5,5
12,desembre,2014,Sense especificar,Catalunya,,5,5
12,desembre,2014,Pèrdues i diversos,Catalunya,135,35,170
12,desembre,2014,Furt,Catalunya,305,91,396
12,desembre,2014,Robatori amb violència i/o intimidació,Catalunya,33,16,49
12,desembre,2014,Robatori amb força interior vehicle,Catalunya,21,3,24
12,desembre,2014,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,9,4,13
12,desembre,2014,Danys,Catalunya,77,18,95
12,desembre,2014,Falta de furt,Catalunya,,18,18
12,desembre,2014,Falta de danys,Catalunya,,3,3
1,gener,2015,Sense especificar,Catalunya,,4,4
1,gener,2015,Pèrdues i diversos,Catalunya,114,39,153
1,gener,2015,Furt,Catalunya,244,93,337
1,gener,2015,Robatori amb violència i/o intimidació,Catalunya,33,12,45
1,gener,2015,Robatori amb força interior vehicle,Catalunya,20,10,30
1,gener,2015,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,14,3,17
1,gener,2015,Danys,Catalunya,87,19,106
1,gener,2015,Falta de furt,Catalunya,,34,34
1,gener,2015,Falta de danys,Catalunya,,2,2
2,febrer,2015,Sense especificar,Catalunya,,4,4
2,febrer,2015,Pèrdues i diversos,Catalunya,116,52,168
2,febrer,2015,Furt,Catalunya,262,94,356
2,febrer,2015,Robatori amb violència i/o intimidació,Catalunya,33,4,37
2,febrer,2015,Robatori amb força interior vehicle,Catalunya,12,6,18
2,febrer,2015,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,14,10,24
2,febrer,2015,Danys,Catalunya,88,16,104
2,febrer,2015,Falta de furt,Catalunya,,28,28
